,,,,,,,,,,,
,,,,,,,,,,,
,Date,Course,Hole,Par,Score,FIR,GIR,Scrambling,Putts
,3/15/2025,Furnance Brook,1,4,5,,N,N,2
,3/15/2025,Furnance Brook,2,4,5,,N,N,2
,3/15/2025,Furnance Brook,3,4,4,,N,Y,1
,3/15/2025,Furnance Brook,4,4,4,,Y,,2
,3/15/2025,Furnance Brook,5,4,4,,N,Y,1
,3/15/2025,Furnance Brook,6,3,3,,Y,,2
,3/15/2025,Furnance Brook,7,4,4,,Y,,2
,3/15/2025,Furnance Brook,8,4,4,,Y,,2
,3/15/2025,Furnance Brook,9,4,4,,Y,,2
,3/15/2025,Furnance Brook,1,4,5,,N,N,2
,3/15/2025,Furnance Brook,2,4,4,,Y,,2
,3/15/2025,Furnance Brook,3,4,4,,Y,,2
,3/15/2025,Furnance Brook,4,4,5,,N,N,2
,3/15/2025,Furnance Brook,5,4,4,,Y,,2
,3/15/2025,Furnance Brook,6,3,3,,N,Y,1
,3/15/2025,Furnance Brook,7,4,5,,N,N,2
,3/15/2025,Furnance Brook,8,4,4,,N,Y,1
,3/15/2025,Furnance Brook,9,4,4,,Y,,2
,3/22/2025,Furnance Brook,1,4,5,,N,N,2
,3/22/2025,Furnance Brook,2,4,4,,Y,,2
,3/22/2025,Furnance Brook,3,4,5,,N,N,2
,3/22/2025,Furnance Brook,4,4,5,,N,N,1
,3/22/2025,Furnance Brook,5,4,4,,Y,,2
,3/22/2025,Furnance Brook,6,3,3,,N,Y,1
,3/22/2025,Furnance Brook,7,4,4,,Y,,2
,3/22/2025,Furnance Brook,8,4,3,,Y,,1
,3/22/2025,Furnance Brook,9,4,5,,N,N,2
,3/22/2025,Furnance Brook,1,4,3,,Y,,1
,3/22/2025,Furnance Brook,2,4,3,,Y,,1
,3/22/2025,Furnance Brook,3,4,6,,N,N,2
,3/22/2025,Furnance Brook,4,4,3,,Y,,1
,3/22/2025,Furnance Brook,5,4,3,,Y,,1
,3/22/2025,Furnance Brook,6,3,3,,N,Y,1
,3/22/2025,Furnance Brook,7,4,4,,N,Y,1
,3/22/2025,Furnance Brook,8,4,4,,Y,,2
,3/22/2025,Furnance Brook,9,4,4,,Y,,2
,3/29/2025,Furnance Brook,1,4,4,,N,Y,1
,3/29/2025,Furnance Brook,2,4,4,,Y,,2
,3/29/2025,Furnance Brook,3,4,5,,N,N,2
,3/29/2025,Furnance Brook,4,4,4,,Y,,2
,3/29/2025,Furnance Brook,5,4,4,,N,Y,1
,3/29/2025,Furnance Brook,6,3,3,,N,Y,1
,3/29/2025,Furnance Brook,7,4,6,,N,N,2
,3/29/2025,Furnance Brook,8,4,4,,N,Y,1
,3/29/2025,Furnance Brook,9,4,5,,N,N,2
,3/30/2025,Furnance Brook,1,4,4,,N,Y,1
,3/30/2025,Furnance Brook,2,4,4,,N,Y,1
,3/30/2025,Furnance Brook,3,4,3,,N,Y,0
,3/30/2025,Furnance Brook,4,4,4,,N,Y,1
,3/30/2025,Furnance Brook,5,4,4,,Y,,2
,3/30/2025,Furnance Brook,6,3,4,,N,N,2
,3/30/2025,Furnance Brook,7,4,5,,N,N,2
,3/30/2025,Furnance Brook,8,4,4,,N,Y,1
,3/30/2025,Furnance Brook,9,4,4,,Y,,2
,3/30/2025,Furnance Brook,1,4,4,,Y,,2
,3/30/2025,Furnance Brook,2,4,4,,N,Y,1
,3/30/2025,Furnance Brook,3,4,5,,Y,,3
,3/30/2025,Furnance Brook,4,4,4,,Y,,2
,3/30/2025,Furnance Brook,5,4,4,,N,Y,1
,3/30/2025,Furnance Brook,6,3,4,,N,N,2
,3/30/2025,Furnance Brook,7,4,5,,N,N,2
,3/30/2025,Furnance Brook,8,4,4,,Y,,2
,3/30/2025,Furnance Brook,9,4,4,,Y,,2
,4/4/2025,Woburn CC,1,4,4,,Y,,2
,4/4/2025,Woburn CC,2,4,4,,Y,,2
,4/4/2025,Woburn CC,3,4,4,,N,Y,1
,4/4/2025,Woburn CC,4,4,5,,N,N,2
,4/4/2025,Woburn CC,5,4,5,,Y,,3
,4/4/2025,Woburn CC,6,4,4,,N,Y,1
,4/4/2025,Woburn CC,7,3,4,,N,N,2
,4/4/2025,Woburn CC,8,4,5,,N,N,2
,4/4/2025,Woburn CC,9,3,3,,Y,,2
,4/5/2025,Furnance Brook,1,4,3,,Y,,1
,4/5/2025,Furnance Brook,2,4,5,,N,N,2
,4/5/2025,Furnance Brook,3,4,4,,Y,,2
