,,,,,,,,,,,,,,,,,,,,,,
,Date,Month,Course,Course Par,Eagles,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Other,Score,Holes,Score to Par,GIR ,Up/Down Chances,Up/Down Successes,Putts,Putts Per Hole,3 Putts,Lost Balls,Penalty Strokes
,3/15/2025,3,Furnace Brook,70,0,0,13,5,0,0,0,75,18,5,9,9,4,32,1.78,0,0,0
,3/22/2025,3,Furnace Brook,70,0,5,8,4,1,0,0,71,18,1,10,8,3,27,1.50,0,0,0
,3/29/2025,3,Furnace Brook,35,0,0,6,2,1,0,0,39,9,4,2,7,4,14,1.56,0,0,0
,3/30/2025,3,Furnace Brook,70,0,1,12,5,0,0,0,74,18,4,7,11,7,29,1.61,1,0,0
,4/4/2025,4,Woburn CC,34,0,0,5,4,0,0,0,38,9,4,4,5,2,17,1.89,1,0,0
,4/5/2025,4,Furnace Brook,70,0,1,9,7,1,0,0,78,18,8,8,10,2,33,1.83,0,0,0
,4/11/2025,4,Furnace Brook,70,0,0,12,6,0,0,0,76,18,6,6,12,6,28,1.56,0,0,0
,4/15/2025,4,Furnace Brook,35,0,0,6,3,0,0,0,38,9,3,5,4,1,17,1.89,0,0,0
,4/17/2025,4,Furnace Brook,35,0,2,4,2,1,0,0,37,9,2,5,4,1,15,1.67,0,0,0
,4/18/2025,4,Furnace Brook,70,0,2,9,5,2,0,0,76,18,6,7,11,4,28,1.56,0,0,0
,4/19/2025,4,Furnace Brook,70,0,0,15,2,1,0,0,74,18,4,13,5,2,33,1.83,0,0,0
,4/21/2025,4,Black Rock,71,1,3,6,5,3,0,0,77,18,6,9,9,2,26,1.44,1,1,1
,4/27/2025,4,Furnace Brook,70,0,2,10,6,0,0,0,74,18,4,10,8,2,32,1.78,0,0,0
,5/3/2025,5,Four Oaks,70,0,0,13,5,0,0,0,75,18,5,10,8,3,31,1.72,0,0,0
,5/15/2025,5,Crosswinds,72,1,3,9,5,0,0,0,72,18,0,10,8,3,28,1.56,0,2,2
,5/16/2025,5,Bayberry Hills,72,1,0,9,8,0,0,0,78,18,6,8,10,3,33,1.83,1,0,0
,5/21/2025,5,Furnace Brook,35,0,1,3,5,0,0,0,39,9,4,5,4,1,16,1.78,2,0,0
,5/26/2025,5,Furnace Brook,70,0,1,10,7,0,0,0,76,18,6,9,9,3,30,1.67,1,0,0
,5/28/2025,5,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,7,2,0,16,1.78,0,1,1
,6/18/2025,6,Furnace Brook,35,0,1,6,1,1,0,0,37,9,2,3,6,4,13,1.44,0,1,2
,6/19/2025,6,Furnace Brook,70,0,2,11,3,2,0,0,75,18,5,11,7,3,32,1.78,1,0,0
,6/21/2025,6,Furnace Brook,35,0,1,5,3,0,0,0,37,9,2,5,4,1,16,1.78,0,0,0
,6/21/2025,6,Thorny Lea,70,0,0,10,8,0,0,0,78,18,8,5,13,5,26,1.44,0,0,1
,6/22/2025,6,Furnace Brook,70,0,0,15,2,1,0,0,74,18,4,10,8,7,31,1.72,1,2,3
,6/22/2025,6,Furnace Brook,70,0,2,10,4,2,0,0,76,18,6,12,6,1,34,1.89,1,1,1
,6/25/2025,6,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,2,15,1.67,0,0,1
,6/28/2025,6,Furnace Brook,70,0,2,8,7,1,0,0,77,18,7,9,9,1,30,1.67,0,0,0
,6/28/2025,6,Furnace Brook,70,0,1,14,3,0,0,0,72,18,2,13,5,3,33,1.83,1,0,0
,6/29/2025,6,Furnace Brook,70,0,0,13,5,0,0,0,75,18,5,10,8,3,30,1.67,0,0,0
,7/1/2025,7,Furnace Brook,35,0,3,3,3,0,0,0,35,9,0,6,3,0,14,1.56,0,0,0
,7/2/2025,7,Furnace Brook,35,0,1,5,2,1,0,0,38,9,3,3,6,3,14,1.56,0,0,0
,7/3/2025,7,Furnace Brook,35,0,0,3,5,1,0,0,42,9,7,3,6,3,14,1.56,1,0,0
,7/4/2025,7,Falmouth CC,72,0,2,9,6,1,0,0,78,18,6,9,9,4,32,1.78,2,0,0
,7/6/2025,7,Furnace Brook,35,0,0,6,3,0,0,0,38,9,3,4,5,2,16,1.78,0,0,0
,7/9/2025,7,Furnace Brook,35,0,2,5,2,0,0,0,35,9,0,7,2,0,16,1.78,0,0,0
,7/11/2025,7,Furnace Brook,70,0,1,12,5,0,0,0,74,18,4,10,8,5,32,1.78,2,0,0
,7/12/2025,7,Furnace Brook,70,0,3,5,9,1,0,0,78,18,8,10,8,0,35,1.94,2,0,0
,7/16/2025,7,Furnace Brook,35,0,2,4,3,0,0,0,36,9,1,3,6,3,13,1.44,0,0,0
,7/17/2025,7,Wykagyl CC,72,0,4,7,6,1,0,0,76,18,4,11,7,2,33,1.83,2,1,2
,7/19/2025,7,Cape Ann CC,34,0,2,4,3,0,0,0,35,9,1,4,5,4,14,1.56,1,0,0
,7/23/2025,7,Furnace Brook,35,0,0,3,6,0,0,0,41,9,6,3,6,1,17,1.89,1,0,0
,7/26/2025,7,Pinehills Ncklaus,72,0,2,10,5,1,0,0,77,18,5,7,11,5,27,1.50,0,0,0
,7/27/2025,7,Andover CC,72,0,1,8,7,2,0,0,82,18,10,6,12,3,30,1.67,1,4,6
,7/30/2025,7,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,7,2,0,17,1.89,0,0,0
,7/31/2024,7,Walloston CC,72,0,2,9,6,1,0,0,78,18,6,8,10,4,30,1.67,1,4,4
,8/3/2025,8,Cape Cod CC,71,0,2,9,7,0,0,0,76,18,5,6,12,6,28,1.56,1,0,0
,8/5/2025,8,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,3,15,1.67,1,0,0
,8/6/2025,8,Furnace Brook,35,0,1,6,2,0,0,0,36,9,1,5,4,2,14,1.56,0,0,0
,8/8/2025,8,Furnace Brook,70,0,3,7,8,0,0,0,74,18,4,10,8,2,31,1.72,1,0,0
